COD_DISTRIBUIDORA,COD_PRODUCTO,DESC_PRODUCTO,COD_EAN,NOM_PROVEEDOR,FACTOR_UNI_MIN,FACTOR_UNI_MAX
1000035866,8320024,JAB LIQ AVAL LAVANDA 4X5 LT,N/A,ALICORP SAA,4,4
1000008184,8320026,ALCOHOL GEL AVAL TENDER BABY 12X380 ML,N/A,ALICORP SAA,12,12
1000018310,8320027,JAB LIQ AVAL LAVANDA 12X800 ML,N/A,ALICORP SAA,12,12
1000011384,8320028,JAB LIQ AVAL ROSAS 12X800 ML,N/A,ALICORP SAA,12,12
1000008802,8320029,JAB LIQ AVAL LIMON 12X800 ML,N/A,ALICORP SAA,12,12
1000018378,8320031,JAB LIQ ANTIB AVAL FRUTOS R 12X800 ML,N/A,ALICORP SAA,12,12
1000028574,8320032,JAB LIQ ANTIB AVAL EUCALIPTO 12X800 ML,N/A,ALICORP SAA,12,12
1000010077,8320033,JAB LIQ COCINA AVAL NARANJA 12X400 ML,N/A,ALICORP SAA,12,12
1000024730,8320034,JAB LIQ COCINA AVAL LIMON 12X400 ML,N/A,ALICORP SAA,12,12
1000021982,8320039,AVAL JABON LIQ. NEUTRO 12 X 400 ML - DESCONT,N/A,ALICORP SAA,12,12
1000018366,8320047,JAB LIQ AVAL MANZANA 12X800 ML,N/A,ALICORP SAA,12,12
1000019381,8320050,JAB LIQ ANTIB AVAL PAS CITRIC 12X800 ML,N/A,ALICORP SAA,12,12
1000001852,8320053,JAB LIQ AVAL LAVANDA 6X1000 ML,N/A,ALICORP SAA,6,6
1000028662,8320054,JAB LIQ AVAL ORQUIDEAS 6X1000 ML,N/A,ALICORP SAA,6,6
1000008739,8320056,JAB LIQ ANTIB AVAL FRUTOS R 6X1000 ML,N/A,ALICORP SAA,6,6
30001508,8320057,JAB LIQ ANTIB AVAL EUCALIPTO 6X1000 ML,N/A,ALICORP SAA,6,6
1000008184,8320058,JAB LIQ ANTIB AVAL AQ MARINA 6X1000 ML,N/A,ALICORP SAA,6,6
1000024723,8320059,JAB LIQ ANTIB AVAL FERIA F 6X1000 ML,N/A,ALICORP SAA,6,6
1000032002,8320066,ALCOHOL GEL AVAL NATURAL 6X980 ML,N/A,ALICORP SAA,6,6
1000018378,8320067,ALCOHOL GEL AVAL TENDER BABY 6X980 ML,N/A,ALICORP SAA,6,6
1000009232,8320164,AVAL HAND ALCOHOL GEL NEUT 8X400 ML - DESCONT,N/A,ALICORP SAA,8,8
1000028858,8320181,JAB LIQ ANTIB AVAL AQ MARINA 12X400 ML,N/A,ALICORP SAA,12,12
1000009913,8320182,JAB LIQ ANTIB AVAL FERIA FLORES 12X400 ML,N/A,ALICORP SAA,12,12
1000002120,8320184,JAB LIQ ANTIB AVAL FERIA F. 12X800 ML,N/A,ALICORP SAA,12,12
1000010295,8320185,JAB LIQ AVAL FRUTOS R 4X5 LT,N/A,ALICORP SAA,4,4
1000028760,8320189,AVAL JAB TOC.AVENA NUTR. 90X120 GR - DESCONT,N/A,ALICORP SAA,90,90
1000010077,8320193,AVAL JAB TOC.FRESCURA NAT 90X120 GR - DESCONT,N/A,ALICORP SAA,90,90
1000012287,8320223,JAB LIQ ANTIB AVAL REFRESC 12X400 ML,N/A,ALICORP SAA,12,12
1000034830,8320225,JAB LIQ ANTIB AVAL RELAJANTE 12X400 ML,N/A,ALICORP SAA,12,12
1000008893,8322141,DEO AVAL XTR ELEGANT 12X150 ML,N/A,ALICORP SAA,12,12
1000028794,8322142,DEO AVAL XTR MISTERIO 12X150 ML,N/A,ALICORP SAA,12,12
1000012343,8322143,DEO AVAL XTR ROMANCE 12X150 ML,N/A,ALICORP SAA,12,12
30002600,8322145,DEO AVAL XTR SENSUAL 12X150 ML,N/A,ALICORP SAA,12,12
1000019371,8322146,DEO AVAL XTR SEXY 12X150 ML,N/A,ALICORP SAA,12,12
1000023530,8322147,DEO AVAL XTR COOL 12X150 ML,N/A,ALICORP SAA,12,12
1000024731,8325000,SAP MATA CUCARACHA 12 X 360 ML - DESCONT,N/A,ALICORP SAA,12,12
1000028760,8325002,SAP MATA MOSCAS 12 X 360 ML - DESCONT,N/A,ALICORP SAA,12,12
1000008893,8325005,MATA PULGAS SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000018861,8325006,MATA POLILLAS SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000004314,8325007,MATA TERMITAS SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000028575,8325008,MATA ARA?A SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000028458,8325009,MATA ACAROS SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000018534,8325011,SAP MATA TODO 12 X 360 ML - DESCONT,N/A,ALICORP SAA,12,12
1000018974,8325016,MATA TODO SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000020099,8325074,MATA CUC&HORMI SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000028586,8325082,MATA MOS&ZANC SAP 12X360 ML,N/A,ALICORP SAA,12,12
1000012198,8326090,DENTITO JUNIO SANDIA 12X12X75 ML - DESCONT,N/A,ALICORP SAA,144,144
1000028574,8326097,DENTITO CR CHICHA MOR 12X12X85 GR - DESCONT,N/A,ALICORP SAA,144,144
1000034830,8326105,CR DENTO TRIPLE ACC+CEPILLO 8X6X150 ML,N/A,ALICORP SAA,8,8
1000009232,8326111,CR DENTO HERBAL+CEPILLO 8X6X150 ML,N/A,ALICORP SAA,8,8
1000028575,8326125,CR DENTO BLANCURA NAT 144X75 ML,N/A,ALICORP SAA,144,144
1000028572,8326136,DENTO CR.TRIPLE .ACC.8 X 13 X75 ML- DESCONT,N/A,ALICORP SAA,8,8
1000024723,8326140,DENTO CR MENTA 8X13X75 ML- DESCONT,N/A,ALICORP SAA,8,8
1000001852,8326141,DENTO CR TRIPLE ACCION 8X13X75 ML- DESCONT,N/A,ALICORP SAA,8,8
1000008184,8326146,CR DENTITO CHICLE GLOBO 12X12X85 GR,N/A,ALICORP SAA,144,144
30003984,8326147,CR DENTITO CHICHA MOR 12X12X85 GR,N/A,ALICORP SAA,144,144
1000009039,8326150,DENTO CR TRIPLE ACCION ICE 12X6X75 ML - DESCONT,N/A,ALICORP SAA,12,12
1000007670,8326152,CR DENTO HERBAL 72X90 GR,N/A,ALICORP SAA,72,72
1000010077,8326158,CR DENTO MENTA 72X80 GR,N/A,ALICORP SAA,72,72
1000024732,8326159,CR DENTO TRIPLE ACCION 72X80 GR,N/A,ALICORP SAA,72,72
30002575,8326161,CR DENTO BLANCURA NAT 72X75 ML,N/A,ALICORP SAA,72,72
1000012287,8408032,DET TROME ENCANTO F 60X130 GR,N/A,ALICORP SAA,60,1
1000020099,8408033,DET TROME TERNURA F 60X130 GR,N/A,ALICORP SAA,60,1
1000011855,8408034,DET TROME LIMON 60X130 GR,N/A,ALICORP SAA,60,1
1000001852,8410026,DET SAP BEBE 2X6 KG,N/A,ALICORP SAA,2,2
1000018671,8410129,DET SAP FLORAL15X750 GR,N/A,ALICORP SAA,15,15
1000035866,8410136,DET SAP BEBE 15X750 GR,N/A,ALICORP SAA,15,15
30002317,8410170,DET SAP LIMON 15X750 GR,N/A,ALICORP SAA,15,15
1000009232,8410190,DET SAP SACO X 13.5 KG,N/A,ALICORP SAA,1,1
1000019371,8410191,DET SAP PROF SACO X 9 KG,N/A,ALICORP SAA,1,1
1000011384,8412011,DET PAT BEBE 15X640 GR,N/A,ALICORP SAA,15,15
1000008549,8412020,DET PAT LIMON 60X140 GR,N/A,ALICORP SAA,60,1
