COD_PROD,DESC_PROD,EAN_13,CATEGORIA_PROD,FAMILIA_PROD,MARCA_PROD,SEGMENTO_PROD,UND_X_CAJA,PESO_X_UND,PRESENTACION_PROD,ESTADO_PROD
8404065,DETER. MARSELLA PETALOS RELAJ 120G 60BOL,7750243055529,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.12,140g,O
8404066,DETER. MARSELLA PETALOS RELAJ 150G 60BOL,7750243056144,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.15,140g,O
8404067,DETER. MARSELLA PETALOS RELAJ 350G 30BOL,7750243056151,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.35,330g,O
8404068,DETER. MARSELLA PETALOS RELAJ 500G 24BOL,7750243056168,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.5,450g,O
8404069,DETER. MARSELLA PETALOS RELAJ 780G 15BOL,7750243056175,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.78,780g,O
8404070,DETER. MARSELLA PETALOS RELAJ 2KG 7BOL,7750243056182,Detergentes,Marsella Aromaterapi,Marsella,Core,7,2.0,2kg,0.0
8404071,DETER. MARSELLA PETALOS RELAJ 4KG 4BOL,7750243056199,Detergentes,Marsella Aromaterapi,Marsella,Core,4,4.0,4kg,O
8404072,DET.MARSELLA PETALOS RELAJ 8KG.1BOL,7750243056205,Detergentes,Marsella Aromaterapi,Marsella,Core,1,8.0,8kg,O
8404073,DET.MARSELLA ESENCIAS BOSQUE 150GR.60BOL,7750243056212,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.15,150g,O
8404074,DET.MARSELLA ESENCIAS BOSQUE 350GR.30BOL,7750243056229,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.35,350g,O
8404075,DET.MARSELLA ESENCIAS BOSQUE 500GR.24BOL,7750243056236,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.5,500g,O
8404076,DET MARSELLA ESENCIAS BOSQUE 780GR.15BOL,7750243056243,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.78,780g,O
8404077,DETER. MARSELLA MAX LIMON 2.6KG 7BOL,7750243056250,Detergentes,Marsella Aromaterapi,Marsella,Core,7,2.0,2kg,O
8404078,DETER. MARSELLA ESENCIA BOSQ 120G 60BOL,7750243055758,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.12,150g,O
8404079,DET.MARSELLA AROMATERAP.GORD.280GR.35BOL,7750243059817,Detergentes,Marsella Aromaterapi,Marsella,Core,35,0.28,280g,O
8404080,DET.MARSELLA ALEGRIA TROP 150GR 60BOL,7750243060585,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.15,150g,O
8404081,DET.MARSELLA ALEGRIA TROP 350GR.30BOL,7750243060592,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.35,350g,O
8404082,DET.MARSELLA ALEGRIA TROP 500GR.24BOL,7750243060608,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.5,500g,O
8404083,DET MARSELLA ALEGRIA TROP 780GR.15BOL,7750243060615,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.78,750g,O
8404084,DET.MARSELLA ALEGRIA TROP 2KG.7BOL,7750243060622,Detergentes,Marsella Aromaterapi,Marsella,Core,7,2.0,2kg,O
8404085,DETER.MARSELLA PETALOS RELAJ 330GR.30BOL,7750243060943,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.33,330g,0.0
8404086,DETER.MARSELLA PETALOS RELAJ 480GR.24BOL,7750243060950,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.48,450g,O
8404087,DETER.MARSELLA ALEGRIA TROP 330GR.30BOL,7750243060967,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.33,330g,O
8404088,DETER.MARSELLA ALEGRIA TROP 480GR.24BOL,7750243060974,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.48,450g,O
8404089,DET. MARSELLA PETALOS RELAJ 140GR.60BOL,7750243068536,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.14,140g,O
8404090,DET. MARSELLA ARO. TROP. 140GR.60BOL,7750243068543,Detergentes,Marsella Aromaterapi,Marsella,Core,60,0.14,140g,O
8404700,DETER. MARSELLA PROFESIONAL 14KG,7750243033473,Detergentes,Marsella Profesional,Marsella,Value,1,14.0,13.5kg,O
8404701,DETER. MARSELLA PROFESIONAL 2 14KG,7750243059114,Detergentes,Marsella Profesional,Marsella,Value,1,14.0,13.5kg,O
8404702,DET. MARSELLA PROFESIONAL 13.5KG,7750243069052,Detergentes,Marsella Profesional,Marsella,Value,1,13.5,13.5kg,O
8404703,DET. MARSELLA PROFESIONAL 2 13.5KG,7750243069069,Detergentes,Marsella Profesional,Marsella,Value,1,13.5,13.5kg,0.0
8404704,DET. MARSELLA DESTINOS SELVA 140GR.60BOL,7750243078894,Detergentes,Marsella Destinos In,Marsella,Core,60,0.14,140g,Z2
8404705,DETER. MARSELLA DESTINOS SELVA 2KG 7BOL,7750243078900,Detergentes,Marsella Destinos In,Marsella,Core,7,2.0,2kg,Z2
8404706,DET. MARSELLA DESTINOS SELVA 730GR 15BOL,7750243079129,Detergentes,Marsella Destinos In,Marsella,Core,15,0.73,730g,Z2
8404707,DET. MARSELLA DESTINOS SELVA 4.0KG.4BOL,7750243079136,Detergentes,Marsella Destinos In,Marsella,Core,4,4.0,4kg,N
8404708,DET. MARSELLA PETALOS RELAJ. 730GR.15BOL,7750243079143,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.73,730g,0.0
8404709,DET. MARSELLA ALEGRIA TROP. 730GR.15BOL,7750243079150,Detergentes,Marsella Aromaterapi,Marsella,Core,15,0.73,730g,0.0
8404710,DET. MARSELLA PETALOS RELAJ. 430GR.24BOL,7750243079167,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.43,430g,Z6
8404711,DETER.MARSELLA ALEGRIA TROP 430GR.24BOL,0.0,Detergentes,Marsella Aromaterapi,Marsella,Core,24,0.43,430g,N
8404712,DETER.MARSELLA LAVANDA ROSAS 320GR.30BOL,7750243079433,Detergentes,Marsella Aromaterapi,Marsella,Core,30,0.32,320g,0.0
8406005,DETER. OPAL BIOCRIS.LIMON 520G 30BOL,0.0,Detergentes,Opal Ultra,Opal,Core,30,0.52,520g,O
8406050,DETER. OPAL FLORAL 160GR 60BOL,7750243035897,Detergentes,Opal Ultra,Opal,Core,60,0.16,140g,O
8406051,DETER. OPAL ULTRA FLORAL 360GR 30BOL,7750243035903,Detergentes,Opal Ultra,Opal,Core,30,0.36,330g,0.0
8406052,DETER. OPAL ULTRA FLORAL 520GR 30BOL,7750243035910,Detergentes,Opal Ultra,Opal,Core,30,0.52,450g,O
8406053,DETER. OPAL ULTRA FLORAL 850GR 15BOL,0.0,Detergentes,Opal Ultra,Opal,Core,15,0.85,750g,O
8406054,DETER. OPAL ULTRA FLORAL 1.5KG 10BOL,7750243035934,Detergentes,Opal Ultra,Opal,Core,10,1.5,1.5kg,O
8406055,DETER. OPAL ULTRA FLORAL 2.6KG 7BOL,7750243035941,Detergentes,Opal Ultra,Opal,Core,7,2.6,2.4kg,O
8406056,DETER. OPAL ULTRA FLORAL 4.5KG 4BOL,7750243035958,Detergentes,Opal Ultra,Opal,Core,4,4.5,4.2kg,O
8406057,DETER. OPAL ULTRA FLORAL 520GR 24BOL,7750243035910,Detergentes,Opal Ultra,Opal,Core,24,0.52,450g,O
8406058,DETER. OPAL ULTRA FLORAL 1.5KG 8BOL,7750243035934,Detergentes,Opal Ultra,Opal,Core,8,1.5,1.5kg,O
8406060,DETER. OPAL ULTRA LIMON 160G 60BOL,7750243035965,Detergentes,Opal Ultra,Opal,Core,60,0.16,140g,O
8406061,DETER. OPAL ULTRA LIMON 360G 30BOL,7750243035972,Detergentes,Opal Ultra,Opal,Core,30,0.36,360g,O
8406062,DETER. OPAL ULTRA LIMON 520G 30BOL,7750243035989,Detergentes,Opal Ultra,Opal,Core,30,0.52,520g,N
8406063,DETER. OPAL ULTRA LIMON 850G 15BOL,7750243035996,Detergentes,Opal Ultra,Opal,Core,15,0.85,850g,N
8406064,DETER. OPAL ULTRA LIMON 1.5KG 10BOL,7750243036009,Detergentes,Opal Ultra,Opal,Core,10,1.5,1.5kg,O
8406065,DETER. OPAL ULTRA LIMON 2.6KG 7BOL,7750243036016,Detergentes,Opal Ultra,Opal,Core,7,2.6,2.6kg,O
8406066,DETER. OPAL ULTRA LIMON 4.5KG 4BOL,7750243036023,Detergentes,Opal Ultra,Opal,Core,4,4.5,4.5kg,O
8406067,DETER. OPAL ULTRA LIMON 520G 24BOL,7750243035989,Detergentes,Opal Ultra,Opal,Core,24,0.52,520g,O
8406068,DETER. OPAL ULTRA LIMON 1.5KG 8BOL,7750243036009,Detergentes,Opal Ultra,Opal,Core,8,1.5,1.5kg,O
8406069,DETER. OPAL ULTRA C/QUITAMANC 160G 60BOL,7750243044424,Detergentes,Opal 2en1,Opal,Core,60,0.16,160g,O
8406070,DETER. OPAL ULTRA C/QUITAMANC 360G 30BOL,7750243040525,Detergentes,Opal 2en1,Opal,Core,30,0.36,330g,0.0
8406071,DETER. OPAL ULTRA C/QUITAMANC 520G 30BOL,7750243040532,Detergentes,Opal 2en1,Opal,Core,30,0.52,480g,O
8406072,DETER. OPAL ULTRA C/QUITAMANC 850G 15BOL,7750243040549,Detergentes,Opal 2en1,Opal,Core,15,0.85,780g,O
8406074,DETER. OPAL ULTRA C/QUITAMANC 1.5KG 10BO,7750243040563,Detergentes,Opal 2en1,Opal,Core,10,1.5,1.5kg,O
8406076,DETER. OPAL ULTRA C/QUITAMANC 2.6KG 7BOL,7750243040587,Detergentes,Opal 2en1,Opal,Core,7,2.6,2.6kg,O
8406078,DETER. OPAL ULTRA C/QUITAMANC 4.5KG 4BOL,7750243040600,Detergentes,Opal 2en1,Opal,Core,4,4.5,4.5kg,O
8406083,DETER. OPAL LIQUIDO 2 EN 1 940ML 12FCO,0.0,Detergentes,Opal Sports,Opal,Core,12,0.931,940mL,O
8406084,DETER. OPAL LIQUIDO 2 EN 1 1900ML 6FCO,7750243046237,Detergentes,Opal Sports,Opal,Core,6,1.881,1.9L,O
8406085,DETER. OPAL ULTRA C/QUITAMANC 520GR 24BO,7750243040532,Detergentes,Opal 2en1,Opal,Core,24,0.52,480g,0.0
8406086,DETER. OPAL ULTRA C/QUITAMANC 1.5KG 8BOL,7750243040563,Detergentes,Opal 2en1,Opal,Core,8,1.5,1.5kg,O
8406091,DETER. OPAL FLORAL 6KG 3BOL,7750243049290,Detergentes,Opal Ultra,Opal,Core,3,6.0,6kg,O
8406092,DETER. OPAL FLORAL 5.8KG 3BOL,7750243050630,Detergentes,Opal Ultra,Opal,Core,3,5.8,5.8kg,O
8406093,DETER. OPAL ADVANCE 160GR 60BOL,7750243051262,Detergentes,Opal Advance,Opal,Core,60,0.16,150g,O
8406094,DETER. OPAL ADVANCE 360GR 30BOL,7750243051279,Detergentes,Opal Advance,Opal,Core,30,0.36,150g,O
8406095,DETER. OPAL ADVANCE 520GR 24BOL,7750243051286,Detergentes,Opal Advance,Opal,Core,24,0.52,450g,O
8406096,DETER. OPAL ADVANCE 850GR 15BOL,7750243051293,Detergentes,Opal Advance,Opal,Core,15,0.85,750g,O
